post_id,latitude,longitude
1,11.25399649,124.746446
2,11.25457585,124.7460705
3,11.25516057,124.7457218
4,11.25577748,124.7453356
5,11.25638902,124.7449547
6,11.2570864,124.7445524
7,11.25771403,124.7442144
8,11.25836313,124.7438496
9,11.25897467,124.7435117
10,11.25960231,124.7431523
11,11.26019776,124.7428304
12,11.26082003,124.742471
13,11.2614423,124.7421169
14,11.26207531,124.7417468
15,11.26269221,124.7414088
16,11.26338959,124.7410172
17,11.26401722,124.7406739
18,11.26461804,124.7403306
19,11.26524568,124.7399551
20,11.26589477,124.739601
21,11.26650631,124.7392577
22,11.26712322,124.7388822
23,11.2677294,124.7385335
24,11.26834095,124.7382063
25,11.26895249,124.7378576
26,11.26960158,124.7375035
27,11.2702024,124.7371656
28,11.27084076,124.7368598
29,11.27137184,124.7363824
30,11.27185464,124.7358835
31,11.27237499,124.7353953
32,11.27293289,124.7348374
33,11.27342105,124.7343063
34,11.27393067,124.7337537
35,11.27441347,124.7332388
36,11.27494991,124.7326326
37,11.27545953,124.7321177
38,11.27596915,124.7315651
39,11.27646267,124.7310716
40,11.27702594,124.7305405
41,11.27754092,124.7300577
42,11.27808273,124.7295266
43,11.27858162,124.729017
44,11.27910733,124.7284806
45,11.2795794,124.7279549
46,11.28007829,124.7274506
47,11.28060401,124.7268873
48,11.2811029,124.726367
49,11.28161252,124.7257984
50,11.2820363,124.7251815
51,11.28245473,124.7245753
52,11.28288925,124.7239316
53,11.28333986,124.723202
54,11.2837261,124.7225475
55,11.28408551,124.7219253
56,11.28448248,124.7212547
57,11.2848419,124.7206056
58,11.28524959,124.7198921
59,11.28560901,124.7192752
60,11.28600061,124.7185725
61,11.28633857,124.7179663
62,11.28669798,124.7172368
63,11.28702521,124.7166145
64,11.28738999,124.7158903
65,11.28771186,124.7151983
66,11.28806055,124.7145438
67,11.28836095,124.7139269
68,11.28866136,124.7132778
69,11.28898859,124.7126341
70,11.28932118,124.7120064
71,11.28962696,124.7113574
72,11.29001319,124.7106171
73,11.29037261,124.7099733
74,11.2907052,124.7093564
75,11.29104853,124.7087181
76,11.29138649,124.7080797
77,11.29171908,124.7074628
78,11.29205167,124.7068512
79,11.29242182,124.70617
80,11.29279196,124.7054887
81,11.29311919,124.7048396
82,11.29345715,124.704212
83,11.29378974,124.7035789
84,11.29412234,124.7029084
85,11.2944442,124.70227
86,11.29471779,124.7015512
87,11.2950182,124.7008806
88,11.29530251,124.7002047
89,11.29554927,124.6995449
90,11.29582822,124.6988529
91,11.29609644,124.6982092
92,11.29638612,124.6975064
93,11.29667044,124.6968251
94,11.29693329,124.6961653
95,11.29723907,124.6954948
96,11.29752874,124.694851
97,11.29781842,124.6941698
98,11.2978828,124.6939605
99,11.29838169,124.6938264
100,11.29892886,124.6937513
101,11.2993902,124.6936762
102,11.29990518,124.6935958
103,11.30044162,124.6934938
